"","accommodates","bedrooms","beds","city","experience_stay","host_listings_count","host_has_profile_pic","listing_price","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","instant_bookable","private_stay"
"108",5,2,2,"Oakland",0,1,"t",165,3,1125,16,4.94,"f",1
"109",6,3,3,"Oakland",0,1,"t",225,45,300,20,4.75,"f",1
"110",5,3,3,"Oakland",0,4,"t",282,1,150,134,4.81,"f",0
"111",2,1,1,"Oakland",0,1,"t",37,14,1125,5,4.8,"f",0
"112",6,4,6,"Oakland",0,1,"t",295,5,14,1,4,"f",1
"113",1,3,1,"Oakland",0,2,"t",65,7,365,8,5,"f",0
"114",1,1,1,"Oakland",0,1,"t",65,1,14,105,4.83,"f",0
"115",2,1,1,"Oakland",0,2,"t",64,4,1125,74,4.81,"f",0
"116",1,1,1,"Oakland",0,1,"t",70,5,60,3,5,"f",0
"117",4,1,2,"Oakland",0,1,"t",139,2,28,43,5,"t",0
"118",2,1,1,"Oakland",0,1,"t",125,4,60,259,4.88,"f",0
"119",2,1,1,"Oakland",0,2,"t",75,1,28,196,4.8,"f",0
"120",2,1,1,"Oakland",0,2,"t",79,10,180,11,4.8,"f",0
"121",6,3,3,"Oakland",0,2,"t",375,3,28,24,5,"f",1
"122",1,1,1,"Oakland",0,1,"t",79,3,120,59,4.84,"f",0
"123",2,1,1,"Oakland",0,1,"t",99,2,1125,82,4.78,"f",1
"124",2,1,1,"Oakland",0,16,"t",94,2,1125,240,4.77,"f",1
"125",1,1,1,"Oakland",0,1,"t",90,1,1125,266,4.96,"f",0
"126",6,4,4,"Oakland",0,1,"t",420,4,9,8,5,"f",1
"127",1,1,1,"Oakland",0,1,"t",100,1,1125,29,5,"f",0
"128",4,2,3,"Oakland",0,2,"t",110,3,14,10,5,"f",1
"129",8,2,4,"Oakland",0,1,"t",243,1,1125,230,4.82,"f",1
"130",2,1,1,"Oakland",0,1,"t",125,2,10,7,4.43,"f",0
"131",4,1,3,"Oakland",0,1,"t",55,1,30,53,4.63,"f",1
"132",2,1,1,"Oakland",0,1,"t",55,2,90,220,4.69,"f",0
"133",2,1,1,"Oakland",0,1,"t",142,5,28,289,4.98,"f",0
"134",2,1,1,"Oakland",0,1,"t",149,2,1125,96,4.89,"f",1
"135",4,1,2,"Oakland",0,2,"t",70,2,25,121,4.76,"f",1
"136",2,3,3,"Oakland",0,1,"t",550,3,1125,17,4.79,"f",1
"137",2,1,1,"Oakland",0,2,"t",100,2,90,8,4.88,"f",0
"138",2,1,1,"Oakland",0,1,"t",75,3,28,157,4.72,"f",0
"139",2,1,1,"Oakland",0,2,"t",98,1,25,467,4.76,"f",1
"140",2,1,1,"Oakland",0,1,"t",99,2,1125,34,5,"f",0
"141",2,1,1,"Oakland",0,2,"t",105,2,28,347,4.71,"f",1
"142",2,1,1,"Oakland",0,1,"t",75,3,93,63,4.97,"f",1
"143",2,1,1,"Oakland",0,1,"t",65,2,31,86,4.97,"f",0
"144",2,1,1,"Oakland",0,10,"t",160,3,29,16,4.94,"f",1
"145",4,2,2,"Oakland",0,1,"t",140,31,1125,2,5,"f",1
"146",2,1,1,"Oakland",0,1,"t",85,2,14,349,4.83,"t",1
"147",4,2,2,"Oakland",0,1,"t",216,2,29,48,4.94,"f",1
"148",1,1,1,"Oakland",0,2,"t",62,1,1125,13,4.85,"f",0
"149",4,1,1,"Oakland",0,1,"t",88,2,29,22,4.55,"f",0
"150",1,1,1,"Oakland",0,2,"t",80,2,30,50,4.94,"t",0
"151",5,3,4,"Oakland",0,2,"t",375,31,1125,148,4.94,"f",1
"152",6,3,4,"Oakland",0,1,"t",614,7,30,8,4.5,"f",1
"153",1,1,1,"Oakland",0,2,"t",100,2,14,6,5,"f",0
"154",1,1,2,"Oakland",0,1,"t",79,7,120,75,4.91,"f",0
"155",2,1,1,"Oakland",0,7,"t",49,3,1125,26,4.52,"f",0
